"Call Number","URL","Author (?)","Recipient (?)"
"Ms.B.1.6.2.11","http://archive.org/details/lettertomydearmr00estli","Estlin, J. B.","May, Samuel,"
"Ms.A.9.2.23.20","http://archive.org/details/lettertomydearmr00haug","Haughton, James,","Chapman, Maria Weston,"
"Ms.A.1.2.33.91A","http://archive.org/details/lettertomydearmr00west7","Weston, Anne Warren,","Garrison, William Lloyd,"
"Ms.A.1.2.34.17B","http://archive.org/details/lettertomydearmr03west","Beecher, Henry Ward,","Garrison, William Lloyd,"
"Ms.A.9.2.20.66","http://archive.org/details/lettertomydearmrs00stea","Bird, S.","Chapman, Maria Weston,"
"Ms.A.9.2.29.79","http://archive.org/details/lettertomydearmrsc00estl","Argyll, Elizabeth Georgiana Campbell,","Chapman, Maria Weston,"
"Ms.A.9.2.22.124","http://archive.org/details/lettertomydearmw00webb","Webb, Richard Davis,","Chapman, Maria Weston,"
"Ms.B.1.6.2.14","http://archive.org/details/lettertomydears00mays1","May, Samuel,","Estlin, J. B."
"Ms.B.1.6.1.33","http://archive.org/details/lettertomydearsi00arms2","Armstrong, George,","May, Samuel,"
"Ms.A.1.2.9.81","http://archive.org/details/lettertomydearsi00ashu","Ashurst, W. H.","Garrison, William Lloyd,"
"Ms.A.1.2.33.6A","http://archive.org/details/lettertomydearsi00conw","Conway, M. F.","Garrison, William Lloyd,"
"Ms.B.1.6.2.19","http://archive.org/details/lettertomydearsi00estl5","Estlin, J. B.","May, Samuel,"
"Ms.B.1.6.2.12","http://archive.org/details/lettertomydearsi00estli","Estlin, J. B.","May, Samuel,"
"Ms.B.1.6.1.36","http://archive.org/details/lettertomydearsi00mays","May, Samuel,","Webb, Richard Davis,"
"Ms.A.1.2.33.68B","http://archive.org/details/lettertomydearwe00chap","Chapman, Maria Weston,","Nichol, Elizabeth Pease,"
"Ms.A.1.2.33.68B","http://archive.org/details/lettertomydearwe00chap","Chapman, Maria Weston,","Nichol, Elizabeth Pease,"
"Ms.A.1.1.4.31","http://archive.org/details/lettertomydearwe00garr4","Garrison, William Lloyd,","Webb, Richard Davis,"
"Ms.A.9.2.16.20","http://archive.org/details/lettertomyfriend62webb1","Webb, Richard Davis,","Weston, Caroline,"
"Ms.A.1.2.16.133","http://archive.org/details/lettertosirmanus00colt","Colthurst, John Bowen.","Garrison, William Lloyd,"
"Ms.A.1.2.35.16B","http://archive.org/details/lettertowilliaml00cham","Chamerovzow, Louis Alexis.","Garrison, William Lloyd,"
"Ms.A.1.2.16.1","http://archive.org/details/lettertowilliaml00doug","Douglass, Frederick,","Garrison, William Lloyd,"
"Ms.A.1.2.16.55","http://archive.org/details/lettertowilliaml01buff","Buffum, James Needham,","Thompson, George,"
"Ms.A.1.2.21.113","http://archive.org/details/lettertowlgarris00beec","Beecher, Henry Ward,","Garrison, William Lloyd,"
"Ms.A.1.2.20.22","http://archive.org/details/lettertowllloydg00davi","Davis, Edward Morris,","Garrison, William Lloyd,"
"Ms.A.1.2.33.75A","http://archive.org/details/lettertowlloydg00smit","Smith, Gerrit,","Garrison, William Lloyd,"
"Ms.A.1.2.31.120A","http://archive.org/details/lettertowlloydga00smit","Smith, Gerrit,","Garrison, William Lloyd,"
"Ms.A.1.2.30.98","http://archive.org/details/lettertowmlloydg00ashu","Ashurst, William Henry.","Garrison, William Lloyd,"
"Ms.A.1.2.33.101B","http://archive.org/details/lettertowmlloydg00estc","Estcourt, John H.","Garrison, William Lloyd,"
"Ms.A.1.2.31.65B","http://archive.org/details/lettertowmlloydg00smit","Smith, Gerrit,","Garrison, William Lloyd,"
"Ms.A.1.2.32.22B","http://archive.org/details/lettertowmlloydga00andr","Andrew, John A.","Garrison, William Lloyd,"
"Ms.A.9.2.31.10","http://archive.org/details/partiallettertoa00chap","Chapman, Maria Weston,","Dicey, Anne Greene Chapman,"
"Ms.A.9.2.26.49","http://archive.org/details/partiallettertoa00estl2","Estlin, Mary Anne,","Weston, Anne Warren,"
"Ms.A.9.2.30.75","http://archive.org/details/partiallettertoa00webb","Webb, Richard Davis,","Weston, Anne Warren,"
"Ms.A.9.2.16.21","http://archive.org/details/partiallettertom00webb5","Webb, Richard Davis,","Chapman, Maria Weston,"
"Ms.A.9.2.22.150","http://archive.org/details/partiallettertom00webb6","Webb, Richard Davis,","Chapman, Maria Weston,"
"Ms.A.9.2.32.68","http://archive.org/details/partiallettertom00webb8","Webb, Richard Davis,","Chapman, Maria Weston,"
"Ms.A.1.2.16.19","http://archive.org/details/partiallettertom00west6","Weston, Anne Warren,","Nichol, Elizabeth Pease,"
"Ms.A.7.3.122","http://archive.org/details/partiallettertom00west","Weston, Caroline,","Estlin, Mary Anne,"
